City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
225,porto novo,6.4965,2.6036,28.35,76,100,2.42,BJ,1681499479
226,tasiilaq,65.6145,-37.6368,2.09,80,13,1.08,GL,1681499690
227,eureka,40.8021,-124.1637,15.93,70,81,1.34,US,1681499502
228,puerto colombia,10.9878,-74.9547,31.05,70,7,10.12,CO,1681499691
229,riviera beach,26.7753,-80.0581,32.81,69,75,5.66,US,1681499691
230,cherskiy,68.75,161.3,-17.83,86,33,4.33,RU,1681499691
231,kabompo,-13.5927,24.2008,19.53,73,42,1.78,ZM,1681499692
232,san carlos de bariloche,-41.1456,-71.3082,14.79,39,86,2.27,AR,1681499454
233,alofi,-19.0595,-169.9187,24.94,88,84,4.12,NU,1681499692
234,lagoa,39.05,-27.9833,16.65,84,0,6.93,PT,1681499693
235,mulanje,-16.0316,35.5,20.44,92,0,2.03,MW,1681499693
236,xining,36.6167,101.7667,4.66,38,100,0.21,CN,1681499693
237,sur,22.5667,59.5289,31.66,43,80,1.83,OM,1681499693
238,karpogory,64.0019,44.4451,-9.04,94,5,1.93,RU,1681499694
239,port augusta,-32.5,137.7667,16.63,89,100,4.2,AU,1681499458
240,devonport,-41.1667,146.35,13.34,91,100,3.43,AU,1681499694
241,atikokan,48.7555,-91.6216,15.3,78,100,3.62,CA,1681499690
242,ahuimanu,21.4447,-157.8378,25.84,74,40,4.12,US,1681499695
243,sisimiut,66.9395,-53.6735,-0.21,81,24,3.48,GL,1681499695
244,jinchang,38.4953,102.1739,10.46,24,100,4.5,CN,1681499695
245,thanh hoa,19.8,105.7667,24.67,97,100,1.58,VN,1681499696
246,kisangani,0.5167,25.2,22.15,97,86,0.96,CD,1681499696
247,nome,64.5011,-165.4064,-13.96,66,20,10.29,US,1681499111
248,ternate,0.8,127.4,26.85,79,94,2.13,ID,1681499697
249,guerrero negro,27.9769,-114.0611,16.89,51,61,6.75,MX,1681499499
250,harper,4.375,-7.7169,27.76,81,100,3.45,LR,1681499410
251,pangnirtung,66.1451,-65.7125,-7.0,79,40,3.09,CA,1681499698
252,port macquarie,-31.4333,152.9167,11.05,87,4,2.9,AU,1681499698
253,opuwo,-18.0607,13.84,27.4,30,100,1.86,NA,1681499699
254,zhigansk,66.7697,123.3711,-17.31,99,65,2.6,RU,1681499699
255,pevek,69.7008,170.3133,-22.21,94,70,4.21,RU,1681499699
256,jacareacanga,-6.2222,-57.7528,28.63,81,100,1.18,BR,1681499700
257,vestmannaeyjar,63.4427,-20.2734,6.83,69,14,5.25,IS,1681499700
258,ugoofaaru,5.6667,73.0,28.54,73,100,0.86,MV,1681499700
259,oktyabrskoye,43.0645,44.7417,9.08,71,79,3.0,RU,1681499700
260,lithakia,37.7167,20.8333,13.6,82,20,0.0,GR,1681499701
261,luderitz,-26.6481,15.1594,19.66,48,0,9.5,NA,1681499701
262,marsh harbour,26.5412,-77.0636,25.72,76,44,4.7,BS,1681499702
